"Site","Location","USDA_Species_Code","Sample_Barcode","Rep","Machine","Date","Mean.Tleaf","Tleaf"
"Barrow","Zeeps","PEFR5","1816","1","Bernie","20160708",18.1359999528571,19.40161324
"Barrow","Inyourface","ARLA2","1836","1","Andy","20160710",15.299729028,17.43241692
"Barrow","Inyourface","ARLA2","1836","1","Andy","20160710",15.299729028,16.46823883
"Barrow","inyourfacedirect","ARLA2","1910","1","Bernie","20160712",7.10922323866667,8.15955925
"Barrow","inyourfacedirect","ARLA2","1910","1","Bernie","20160712",7.10922323866667,5.798275948
"Barrow","bryan'spath","ERAN6","1935","1","Andy","20160712",5.80791826246667,6.973555088
"Barrow","inyourface","ARLA2","1909","1","Mariano","20160712",5.01245791106667,6.265842438
"Barrow","urinecorner","SAPU15","1958","1","Flash","20160713",22.4759358472727,24.16542816
"Barrow","urinecorner","SAPU15","1958","1","Flash","20160713",22.4759358472727,24.1903286
"Barrow","urinecorner","SAPU15","1958","1","Flash","20160713",22.4759358472727,23.84749031
"Barrow","urinecorner","SAPU15","1958","1","Flash","20160713",22.4759358472727,16.96863174
"Barrow","urinecorner","SAPU15","1958","1","Flash","20160713",22.4759358472727,20.70671844
"Barrow","154boardwalkleft","PEFR5","2033","1","Flash","20160716",15.3263854333333,17.50111961
"Barrow","154boardwalkleft","PEFR5","2033","1","Flash","20160716",15.3263854333333,16.58652878
"Barrow","wolfsredemptionpolygon","PEFR5","1994","1","Andy","20160716",15.0040894670588,16.28711891
"Barrow","Wendyhouselake","ARFU2","2114","1","Bernie","20160718",4.76599433841176,6.306559086
"Barrow","Wendyhouselake","ARFU2","2114","1","Bernie","20160718",4.76599433841176,6.334262371
"Barrow","Wendyhouselake","ARFU2","2114","1","Bernie","20160718",4.76599433841176,6.025421619
"Barrow","Wendyhouselake","ARFU2","2114","1","Bernie","20160718",4.76599433841176,3.763692856
"Barrow","Wendyhouselake","ARFU2","2118","1","Bernie","20160718",4.49997796717647,5.925923824
"Barrow","Wendyhouselake","ARFU2","2118","1","Bernie","20160718",4.49997796717647,5.598601341
"Barrow","lessinyourface","ARLA2","2125","1","Mariano","20160718",5.15768211228571,6.716742039
"Barrow","lessinyourface","ARLA2","2125","1","Mariano","20160718",5.15768211228571,6.46663332
"Barrow","frontofhut","SAPU15","2106","1","Flash","20160718",5.1179991960625,6.118326187
"Barrow","rightinyourface","ARLA2","2108","1","Flash","20160718",4.96541700366667,6.043059349
"Barrow","rightinyourface","ARLA2","2108","1","Flash","20160718",4.96541700366667,5.98344183
"Barrow","rightinyourface","ARLA2","2126","1","Flash","20160718",4.5161763578125,3.350469589
"Barrow","tjunctionpond","CAAQ","2146","1","Bernie","20160719",6.25367146072222,7.42882061
"Barrow","tjunctionpond","CAAQ","2146","1","Bernie","20160719",6.25367146072222,7.296175957
"Barrow","oppositeT","PEFR5","2165","1","Andy","20160719",5.0463208437,6.150285244
"Barrow","oppositet","PEFR5","2164","1","Mariano","20160719",5.40614243111765,6.612900257
"Barrow","oppositet","PEFR5","2164","1","Mariano","20160719",5.40614243111765,6.53481245
"Barrow","Wendyhouselake","ARFU2","2185","1","Flash","20160720",5.7451402982,6.790417194
"Barrow","Wendyhouselake","ARFU2","2185","1","Flash","20160720",5.7451402982,7.156981945
"Barrow","Wendyhouselake","ARFU2","2185","1","Flash","20160720",5.7451402982,6.99310112
"Barrow","Wendyhouselake","ARFU2","2185","1","Flash","20160720",5.7451402982,6.803028584
"Barrow","Wendyhouselake","ARFU2","2185","1","Flash","20160720",5.7451402982,4.633935452
"Barrow","Wendyhouselake","ARFU2","2184","1","Derek","20160720",6.19651235466667,7.542294502
"Barrow","Wendyhouselake","ARFU2","2184","1","Derek","20160720",6.19651235466667,7.768457413
"Barrow","Wendyhouselake","ARFU2","2184","1","Derek","20160720",6.19651235466667,7.812765121
"Barrow","Wendyhouselake","ARFU2","2184","1","Derek","20160720",6.19651235466667,7.826411724
"Barrow","Wendyhouselake","ARFU2","2184","1","Derek","20160720",6.19651235466667,7.651708126
"Barrow","Wendyhouselake","ARFU2","2184","1","Derek","20160720",6.19651235466667,5.161446571
"Barrow","Wendyhouselake","ARFU2","2184","1","Derek","20160720",6.19651235466667,5.089027882
"Barrow","Wendyhouselake","ARFU2","2184","1","Derek","20160720",6.19651235466667,5.005215645
"Barrow","Wendyhouselake","ARFU2","2184","1","Derek","20160720",6.19651235466667,4.999923229
"Barrow","Wendyhouselake","ARFU2","2184","1","Derek","20160720",6.19651235466667,5.004502773
"Barrow","Wendyhouselake","ARFU2","2184","1","Derek","20160720",6.19651235466667,5.081747532
"Barrow","Wendyhouselake","ARFU2","2187","1","Derek","20160720",5.55191407488235,6.995515347
"Barrow","Wendyhouselake","ARFU2","2187","1","Derek","20160720",5.55191407488235,7.001937866
"Barrow","Wendyhouselake","ARFU2","2187","1","Derek","20160720",5.55191407488235,6.879484177
"Barrow","presteve","PEFR5","2186","1","Mariano","20160720",5.212707698375,6.356287956
"Barrow","presteve","PEFR5","2193","1","Mariano","20160720",5.27475634225,6.59487772
"Barrow","presteve","PEFR5","2193","1","Mariano","20160720",5.27475634225,6.34990263
"Barrow","chickmagnet","ARLA2","2177","1","Andy","20160720",5.16964903347619,6.914384842
