"Site","Location","USDA_Species_Code","Sample_Barcode","Rep","Machine","Date","Ci"
"Barrow","Zeeps","PEFR5","1815","2","Bernie","20160708",2005.234109
"Barrow","zeeps","ERAN6","1824","1","Andy","20160709",3360.358496
"Barrow","zeeps","ERAN6","1824","1","Andy","20160709",2772.579782
"Barrow","zeeps","ERAN6","1824","1","Andy","20160709",-800.5167626
"Barrow","tjunctionpond","CAAQ","2022","1","Derek","20160716",-3.80161175
"Barrow","tjunctionpond","CAAQ","2021","1","Bernie","20160716",-10155.34608
"Barrow","tjunctionpond","CAAQ","2021","1","Bernie","20160716",-733.0640089
"Barrow","Wendyhouselake","ARFU2","2116","1","Bernie","20160718",-202.8118184
"Barrow","Wendyhouselake","ARFU2","2184","1","Derek","20160720",3546.875463
"Barrow","Wendyhouselake","ARFU2","2184","1","Derek","20160720",2517.724372
"Barrow","Wendyhouselake","ARFU2","2184","1","Derek","20160720",-253.605542
"Barrow","Wendyhouselake","ARFU2","2184","1","Derek","20160720",-229.7424481
"Barrow","Wendyhouselake","ARFU2","2184","1","Derek","20160720",-593.2184527
"Barrow","Wendyhouselake","ARFU2","2184","1","Derek","20160720",-477.661826
"Barrow","Wendyhouselake","ARFU2","2184","1","Derek","20160720",-171.5291737
